date,hour,month,day_of_week,week_num,receipt_number,sku,details,brand_name,product_category,size,quantity,subtotal,sales_tax,total,retail_price,has_discount
2026-03-27,14,3,Friday,13,627,10003248,Red & White Necklace / Red & White / OSFM / abc,Unknown,Accessories,,1.0,17.99,1.66408,19.65408,17.99,False
2026-03-27,14,3,Friday,13,626,10003309,Clarks Brown Leather Boots Size 9M,Clarks,Shoes,9,1.0,32.99,3.05158,36.04158,32.99,False
2026-03-27,14,3,Friday,13,626,10005674,Citizens of Humanity Bluejeans / Size 30,Citizens of Humanity,Jeans/Pants,30,1.0,29.99,2.77408,32.76408,29.99,False
2026-03-27,14,3,Friday,13,626,10007290,FP One White Dress Size XL,,Dress,XL,1.0,28.99,2.68158,31.67158,28.99,False
2026-03-27,14,3,Friday,13,626,10007186,Old Navy Brown Dress Size M,,Dress,M,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-27,14,3,Friday,13,625,10006206,green with white flowers blouse/small,Sadie & Sage,Top,,1.0,19.99,1.84908,21.83908,19.99,False
2026-03-27,14,3,Friday,13,624,10002156,DieselJeans_Al / Bluejeans / 8 / 11.83,Diesel,Jeans/Pants,,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-27,14,3,Friday,13,624,10003054,LeviJeans / Bluejeans / S,Levixs,Jeans/Pants,,1.0,28.99,2.68158,31.67158,28.99,False
2026-03-27,14,3,Friday,13,623,10006403,Desigual/GrnPatternJacket/Size38,Desigual,Jacket/Coat,38,1.0,175.0,16.1875,191.1875,175.0,False
2026-03-27,14,3,Friday,13,622,10007201,Zara Basic White Top Size XS,,Top,XS,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-27,13,3,Friday,13,621,10007142,Socialite White Cami Top/Size S,Socialite,Top,S,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-27,12,3,Friday,13,620,10007162,Libra LS Blouse Multi-Color Size XL,,Top,XL,1.0,32.99,3.05158,36.04158,32.99,False
2026-03-27,12,3,Friday,13,619,10006576,Blue Purse Silver Hardware,Unknown,Accessories,,1.0,21.95,2.03038,23.98038,21.95,False
2026-03-27,12,3,Friday,13,618,10003983,Juicy Couture 2 Piece Baby Pink Velvet / Size M,Juicy Couture,Other,M,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-27,12,3,Friday,13,617,10006339,Gypsies & Moondust Red Blue Stripe Top / Size M,Gypsies & Moondust,Top,M,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-27,12,3,Friday,13,617,10005954,St Johns Bay Brown & White SS / Size L,St Johns Bay,Top,L,1.0,18.99,1.75658,20.74658,18.99,False
2026-03-27,12,3,Friday,13,616,10006872,SincerelyJules/WhiCrewSweater/SizeM,Sincerely Jules,Sweater/Cardigan,M,1.0,27.99,2.58908,30.57908,27.99,False
2026-03-27,12,3,Friday,13,615,10004767,Land's End Pink Zip Up Jacket / Size XL,Lands End,Jacket/Coat,XL,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-27,11,3,Friday,13,614,10004223,Lulus White Ruffle Two Piece Set / Size M,Lulus,Set,M,1.0,24.99,2.31158,27.30158,24.99,False
2026-03-27,11,3,Friday,13,613,10007135,Comsic Aura Black Lace Kimono/Size M/L,Cosmic Aura,Other,M,1.0,25.99,2.40408,28.39408,25.99,False
2026-03-27,11,3,Friday,13,612,10007121,Nine West Pink Rain Jacket/ Size S,Nine West,Jacket/Coat,S,1.0,27.99,2.58908,30.57908,27.99,False
2026-03-27,11,3,Friday,13,612,10007127,Carolina Belle Montreal Blue Jacket/Size S,Carolina Belle,Jacket/Coat,S,1.0,45.99,4.25408,50.24408,45.99,False
2026-03-27,11,3,Friday,13,612,10004613,Sophie Max Black Shortsleeve Dress / Size S,Sophie Max,Dress,S,1.0,13.99,1.29408,15.28408,13.99,False
2026-03-27,11,3,Friday,13,612,10006340,Chico's Dark Blue Top / Size S,Chico's,Top,S,1.0,18.99,1.75658,20.74658,18.99,False
2026-03-27,11,3,Friday,13,612,10005292,Gibson/BlackTop/SizeS,Gibson,Other,S,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-27,11,3,Friday,13,612,10005228,Banana Republic Green Sleeveless Top/Size S,Banana Republic,Top,S,1.0,14.99,1.38658,16.37658,14.99,False
2026-03-27,11,3,Friday,13,612,10003455,White House Black Market Skirt Black Size 4,White House Black Market,Skirt,4,1.0,31.99,2.95908,34.94908,31.99,False
2026-03-27,11,3,Friday,13,612,10004504,WhBmNWT Multicolor Skirt/Size 4,White House Black Market,Skirt,4,1.0,21.99,2.03408,24.02408,21.99,False
2026-03-27,11,3,Friday,13,612,10006730,Stella & Dot Silver Stretch Bracelet,Stella & Dot,Accessories,,1.0,25.99,2.40408,28.39408,25.99,False
2026-03-27,11,3,Friday,13,612,10007284,Bracelet metal,,Accessories,,1.0,24.99,2.31158,27.30158,24.99,False
2026-03-27,11,3,Friday,13,611,10006645,floral maxi dress size large,Unknown,Dress,L,1.0,27.99,2.58908,30.57908,27.99,False
2026-03-27,10,3,Friday,13,610,10006729,Stella & Dot Gold Circles Necklace,Stella & Dot,Accessories,,1.0,29.99,2.77408,32.76408,29.99,False
2026-03-26,20,3,Thursday,13,609,10004199,VINTAGE Luisa Spagnoli Top Blck/Size L,Louisa Spagnoli,Top,L,1.0,42.99,3.97658,46.96658,42.99,False
2026-03-26,20,3,Thursday,13,609,10005008,Sanctuary NWT Black Mustard Jumpsuit / Size 8,Sanctuary,Romper/Jumpsuit,8,1.0,69.99,6.47408,76.46408,69.99,False
2026-03-26,20,3,Thursday,13,609,10004402,Rag&Bone/BlkBacklessChunkyHeels/Size39.5,Rag X Bone,Top,39.5,1.0,29.99,2.77408,32.76408,29.99,False
2026-03-26,20,3,Thursday,13,609,10007059,Manolo Blahnik Black Studded Heels/Size 9,Manolo Blahnik,Top,9,1.0,55.99,5.17908,61.16908,55.99,False
2026-03-26,20,3,Thursday,13,608,10004513,VINTAGE MaryFrances Hndbg,Mary Frances,Other,,1.0,50.0,4.625,54.625,50.0,False
2026-03-26,20,3,Thursday,13,607,10007122,Colebrook Blk Leather Coat/Size S,Colebrook,Jacket/Coat,S,1.0,39.99,3.69908,43.68908,39.99,False
2026-03-26,20,3,Thursday,13,606,10006739,Bisou Bisou Silver Bracelet Black Stone,Bisou Bisou,Accessories,,1.0,46.99,4.34658,51.33658,46.99,False
2026-03-26,19,3,Thursday,13,605,10006838,Linda Anderson black sundress/L,Linda Anderson,Dress,L,1.0,25.99,2.40408,28.39408,25.99,False
2026-03-26,19,3,Thursday,13,605,10007072,Naya Makani Wedge/ Size 11,Naya,Other,11,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-26,19,3,Thursday,13,604,10004824,August Silk Black Sheer Colorful Flower / Size M,August Silk,Other,M,1.0,24.99,2.31158,27.30158,24.99,False
2026-03-26,19,3,Thursday,13,603,10003944,JR Nites Black Sheer Longsleeve / Size 12,JR Nites,Other,12,1.0,39.99,3.69908,43.68908,39.99,False
2026-03-26,17,3,Thursday,13,602,10003079,Brown Grommet Belt_Un / Brown / Unknown / 19.900000000000006,Unknown,Accessories,,1.0,15.0,1.3875,16.3875,15.0,False
2026-03-26,17,3,Thursday,13,601,10007134,Pac Sun Rhinestone Denim Top/Size S,Pac Sun,Jeans/Pants,S,1.0,17.99,1.66408,19.65408,17.99,False
