Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,Closing Inventory,Revenue,Inventory Cost
Anne Klein Fushia Floral Sheer Cardigan / Size 6,10005257,,Anne Klein,,,,1,0,0
Anne Klein multi-color blazer 6,10007591,,,,,,1,0,0
Anne Klein white dress shirt/L,10006849,,Anne Klein,,,,1,0,0
Anne KleinCardigan_Ga,10001187,,Anne Klein,,,,0,0,0
AnneKlein/BlkSparkleDress/Size10,10004603,,Anne Klein,,,,1,0,0
AnneKlein/MulticolDress/Size4,10007415,,Anne Klein,,,,1,0,0
AnneKlein/WhiruffleSlvlssShirt/Size14,10007399,,Anne Klein,,,,1,0,0
Another Label Orange & Black Jacket / Size S,10005701,,Another Label,,,,0,45.99,0
Anthro Off White Crochet Skirt / Size 10,10007708,,Anthropologie,,,,1,0,0
Anthro White SS Top w Yellow Ruffle / Size S,10005591,,Anthropologie,,,,1,0,0
Anthropologie Black Balloon Pants/ Size M,10006267,,Anthropologie,,,,0,24.99,0
Anthropologie Black Textured Tank / Size M,10005105,,Anthropologie,,,,1,0,0
Anthropologie Gray Crop Top w Tie Back/Size M,10006263,,Anthropologie,,,,0,23.99,0
Anthropologie M Albright Turquoise 7.5,10007658,,,,,,1,0,25
Anthropologie Pants Brown Size 0,10003510,,Anthropologie,,,,1,0,0
Anthropologie Reformation Plaid Top/Size L,10006814,,Anthropologie,,,,0,55.99,0
Anthropologie SL NWT Colorful Striped Dress / Size S,10005025,,Anthropologie,,,,1,0,0
Anthropologie Yellow SS Blouse L,10007525,,,,,,1,0,0
Anthropologie/PinkLaceTop/SizeS,10005783,,Anthropologie,,,,0,16.99,0
Antonio Melani White Tank Top Size S,10006945,,,,,,0,24.99,0
Antropologie Burgundy Embroidered LS / Size L,10006330,,Anthropologie,,,,1,0,0
Apollo Jeans Sleeveless Denim Jacket / Size S,10007126,,Apollo,,,,0,18.99,0
Apperloth Black Feux Leather Shorts L,10007607,,,,,,1,0,0
Appraisal Houndstooth Jacket L,10008682,,,,,,1,0,8.5
AprilCornell/BlkSheerSlvlssShirt/SizeM,10007392,,April Cornell,,,,1,0,0
